STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,age,Age class,sex,Sex,indic_il,Income and living conditions indicator,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_DI03(1.0),Mean and median income by age and sex,A,Annual,Y_GE18,18 years or over,T,Total,MED_E,Median equivalised net income,PPS,Purchasing power standard (PPS),BG,Bulgaria,2019,,8492,,,,,
dataflow,ESTAT:ILC_DI03(1.0),Mean and median income by age and sex,A,Annual,Y_GE18,18 years or over,T,Total,MED_E,Median equivalised net income,PPS,Purchasing power standard (PPS),BG,Bulgaria,2020,,8782,,,,,
dataflow,ESTAT:ILC_DI03(1.0),Mean and median income by age and sex,A,Annual,Y_GE18,18 years or over,T,Total,MED_E,Median equivalised net income,PPS,Purchasing power standard (PPS),CY,Cyprus,2009,,19057,,,,,
dataflow,ESTAT:ILC_DI03(1.0),Mean and median income by age and sex,A,Annual,Y_GE18,18 years or over,T,Total,MED_E,Median equivalised net income,PPS,Purchasing power standard (PPS),CY,Cyprus,2010,,18239,,,,,
dataflow,ESTAT:ILC_DI03(1.0),Mean and median income by age and sex,A,Annual,Y_GE18,18 years or over,T,Total,MED_E,Median equivalised net income,PPS,Purchasing power standard (PPS),CY,Cyprus,2011,,19238,,,,,
dataflow,ESTAT:ILC_DI03(1.0),Mean and median income by age and sex,A,Annual,Y_GE18,18 years or over,T,Total,MED_E,Median equivalised net income,PPS,Purchasing power standard (PPS),CY,Cyprus,2012,,19168,,,,,
dataflow,ESTAT:ILC_DI03(1.0),Mean and median income by age and sex,A,Annual,Y_GE18,18 years or over,T,Total,MED_E,Median equivalised net income,PPS,Purchasing power standard (PPS),CY,Cyprus,2013,,17278,,,,,
dataflow,ESTAT:ILC_DI03(1.0),Mean and median income by age and sex,A,Annual,Y_GE18,18 years or over,T,Total,MED_E,Median equivalised net income,PPS,Purchasing power standard (PPS),CY,Cyprus,2014,,15839,,,,,
dataflow,ESTAT:ILC_DI03(1.0),Mean and median income by age and sex,A,Annual,Y_GE18,18 years or over,T,Total,MED_E,Median equivalised net income,PPS,Purchasing power standard (PPS),CY,Cyprus,2015,,15467,,,,,
dataflow,ESTAT:ILC_DI03(1.0),Mean and median income by age and sex,A,Annual,Y_GE18,18 years or over,T,Total,MED_E,Median equivalised net income,PPS,Purchasing power standard (PPS),CY,Cyprus,2016,,16302,,,,,
